application_id,Interview Taken on,Status,event_name,Department,Post Name,Offered Salary
383422,01-05-2014 11:40,Hired,Male,Service Department,c8,56553
907518,06-05-2014 08:08,Hired,Female,Service Department,c5,22075
176719,06-05-2014 08:08,Rejected,Male,Service Department,c5,70069
429799,02-05-2014 16:28,Rejected,Female,Operations Department,i4,3207
253651,02-05-2014 16:32,Hired,Male,Operations Department,i4,29668
289907,01-05-2014 07:44,Hired,Male,Sales Department,-,85914
959124,06-05-2014 16:27,Rejected,Male,Sales Department,i7,69904
86642,09-05-2014 13:17,Rejected,Male,Sales Department,i7,11758
751029,02-05-2014 13:09,Hired,Female,Service Department,i4,15156
434547,02-05-2014 13:11,Rejected,Female,Service Department,i4,49515
518854,01-05-2014 09:00,Rejected,Male,Service Department,n10,26990
649039,07-05-2014 10:48,Hired,Female,Service Department,b9,200000
199526,07-05-2014 10:50,Hired,Male,Service Department,b9,86787
539803,15-05-2014 09:31,Hired,Male,Finance Department,b9,2308
191009,09-05-2014 12:48,Hired,Female,Service Department,i7,56688
195323,09-05-2014 12:48,Hired,-,Service Department,i7,81757
51318,02-05-2014 08:07,Hired,Male,Service Department,i5,15134
742283,02-05-2014 08:11,Rejected,-,Service Department,i5,100
513166,01-05-2014 22:53,Hired,Female,Operations Department,i1,73579
791372,01-05-2014 22:54,Rejected,Male,Operations Department,i1,50351
47857,01-05-2014 22:55,Rejected,Female,Operations Department,i1,38462
834101,01-05-2014 22:53,Rejected,Don’t want to say,Operations Department,i1,82510
985008,01-05-2014 09:41,Rejected,Male,Service Department,i6,52554
891568,01-05-2014 16:28,Hired,Female,Operations Department,i7,3423
935899,10-05-2014 14:17,Rejected,Male,Service Department,i1,88744
780839,10-05-2014 14:18,Hired,Female,Service Department,i1,70979
851764,01-05-2014 16:01,Rejected,Male,Operations Department,i6,99574
202821,01-05-2014 16:01,Hired,Male,Operations Department,i6,52176
969924,01-05-2014 11:47,Rejected,Male,Finance Department,i1,61432
765579,01-05-2014 09:26,Rejected,Male,Sales Department,i4,87884
924976,01-05-2014 09:26,Rejected,Male,Sales Department,i4,56229
896164,01-05-2014 17:21,Hired,Don’t want to say,Production Department,i7,37947
600625,02-05-2014 18:21,Rejected,Male,Service Department,c5,88057
692533,02-05-2014 18:23,Hired,Male,Service Department,c5,72843
894276,02-05-2014 11:47,Rejected,Male,Operations Department,i4,84513
121909,02-05-2014 12:21,Rejected,Male,Operations Department,i4,23129
176467,02-05-2014 12:21,Rejected,Male,Operations Department,i4,73304
